Year,Month,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
2012,November,129,464,973,493,1269,1408,1813,661,962,1624,73,471,884,1870,1852,2155,1294,1137
2012,December,130,470,992,504,1263,1427,1810,679,977,1625,89,476,873,1866,1856,2141,1285,1117
2013,January,148,453,987,509,1263,1407,1828,671,962,1645,98,496,854,1886,1845,2157,1278,1130
2013,February,142,473,972,500,1264,1406,1830,659,975,1647,106,502,856,1893,1828,2157,1295,1148
2013,March,148,478,987,516,1272,1409,1848,666,995,1660,96,508,868,1899,1846,2149,1314,1140
2013,April,166,474,997,520,1291,1411,1852,677,986,1652,107,488,873,1916,1849,2141,1331,1139
2013,May,147,460,989,500,1287,1421,1844,677,987,1633,113,485,873,1902,1859,2159,1340,1123
2013,June,133,440,1001,507,1307,1424,1857,673,997,1613,130,487,861,1921,1848,2171,1321,1106
2013,July,127,455,989,499,1316,1411,1855,665,980,1599,128,472,874,1917,1868,2177,1328,1123
2013,August,146,442,1009,494,1333,1408,1861,653,983,1614,130,474,854,1932,1855,2192,1310,1110
2013,September,152,427,1025,481,1314,1403,1862,633,1003,1630,123,483,856,1926,1856,2185,1298,1115
2013,October,148,447,1025,495,1331,1404,1849,616,1017,1643,133,485,868,1946,1861,2175,1294,1106
